schedulingType,numberOfInstances,podName,nodeName,energyConsumption
Standard,5,standard-pod-1,kind-worker2,126.096
Standard,5,standard-pod-2,kind-worker,149.001
Standard,5,standard-pod-3,kind-worker2,137.25
Standard,5,standard-pod-4,kind-worker,152.439
Standard,5,standard-pod-5,kind-worker,155.058
EnergyAware,5,energy-aware-pod-1,kind-worker2,131.715
EnergyAware,5,energy-aware-pod-2,kind-worker2,131.655
EnergyAware,5,energy-aware-pod-3,kind-worker2,147.201
EnergyAware,5,energy-aware-pod-4,kind-worker2,139.212
EnergyAware,5,energy-aware-pod-5,kind-worker,149.082
schedulingType,numberOfInstances,podName,nodeName,energyConsumption
Standard,5,standard-pod-1,kind-worker2,140.073
Standard,5,standard-pod-2,kind-worker,153.891
Standard,5,standard-pod-3,kind-worker2,118.572
Standard,5,standard-pod-4,kind-worker,152.982
Standard,5,standard-pod-5,kind-worker,145.959
EnergyAware,5,energy-aware-pod-1,kind-worker2,87.303
EnergyAware,5,energy-aware-pod-2,kind-worker2,142.323
EnergyAware,5,energy-aware-pod-3,kind-worker2,116.04
EnergyAware,5,energy-aware-pod-4,kind-worker2,123.864
EnergyAware,5,energy-aware-pod-5,kind-worker,146.724
schedulingType,numberOfInstances,podName,nodeName,energyConsumption
Standard,5,standard-pod-1,kind-worker2,143.616
Standard,5,standard-pod-2,kind-worker,149.907
Standard,5,standard-pod-3,kind-worker2,148.476
Standard,5,standard-pod-4,kind-worker,149.142
Standard,5,standard-pod-5,kind-worker,148.152
EnergyAware,5,energy-aware-pod-1,kind-worker2,145.071
EnergyAware,5,energy-aware-pod-2,kind-worker2,121.521
EnergyAware,5,energy-aware-pod-3,kind-worker2,143.931
EnergyAware,5,energy-aware-pod-4,kind-worker2,122.118
EnergyAware,5,energy-aware-pod-5,kind-worker,146.571
schedulingType,numberOfInstances,podName,nodeName,energyConsumption
Standard,5,standard-pod-1,kind-worker2,114.384
Standard,5,standard-pod-2,kind-worker,151.56
Standard,5,standard-pod-3,kind-worker2,138.945
Standard,5,standard-pod-4,kind-worker,151.572
Standard,5,standard-pod-5,kind-worker2,156.09
EnergyAware,5,energy-aware-pod-1,kind-worker2,128.376
EnergyAware,5,energy-aware-pod-2,kind-worker2,111.567
EnergyAware,5,energy-aware-pod-3,kind-worker2,98.583
EnergyAware,5,energy-aware-pod-4,kind-worker2,125.88
EnergyAware,5,energy-aware-pod-5,kind-worker,142.428
schedulingType,numberOfInstances,podName,nodeName,energyConsumption
Standard,5,standard-pod-1,kind-worker2,107.226
Standard,5,standard-pod-2,kind-worker,132.621
Standard,5,standard-pod-3,kind-worker2,136.398
Standard,5,standard-pod-4,kind-worker,119.025
Standard,5,standard-pod-5,kind-worker2,149.607
EnergyAware,5,energy-aware-pod-1,kind-worker,76.617
EnergyAware,5,energy-aware-pod-2,kind-worker2,134.733
EnergyAware,5,energy-aware-pod-3,kind-worker2,148.524
EnergyAware,5,energy-aware-pod-4,kind-worker,131.448
EnergyAware,5,energy-aware-pod-5,kind-worker2,152.469
