schedulingType,numberOfInstances,podName,nodeName,energyConsumption
Standard,1,standard-pod-1,kind-worker2,149.214
EnergyAware,1,energy-aware-pod-1,kind-worker,148.272
Standard,2,standard-pod-1,kind-worker2,152.448
Standard,2,standard-pod-2,kind-worker,147.975
EnergyAware,2,energy-aware-pod-1,kind-worker,103.068
EnergyAware,2,energy-aware-pod-2,kind-worker2,148.329
Standard,3,standard-pod-1,kind-worker2,153.135
Standard,3,standard-pod-2,kind-worker,118.293
Standard,3,standard-pod-3,kind-worker2,142.335
EnergyAware,3,energy-aware-pod-1,kind-worker,141.42
EnergyAware,3,energy-aware-pod-2,kind-worker2,112.884
EnergyAware,3,energy-aware-pod-3,kind-worker2,152.088
Standard,4,standard-pod-1,kind-worker2,151.137
Standard,4,standard-pod-2,kind-worker,152.076
Standard,4,standard-pod-3,kind-worker2,143.178
Standard,4,standard-pod-4,kind-worker,151.125
EnergyAware,4,energy-aware-pod-1,kind-worker,152.748
EnergyAware,4,energy-aware-pod-2,kind-worker2,137.457
EnergyAware,4,energy-aware-pod-3,kind-worker2,138.429
EnergyAware,4,energy-aware-pod-4,kind-worker,149.85
Standard,5,standard-pod-1,kind-worker2,98.433
Standard,5,standard-pod-2,kind-worker,153.897
Standard,5,standard-pod-3,kind-worker2,132.522
Standard,5,standard-pod-4,kind-worker,149.922
Standard,5,standard-pod-5,kind-worker2,147.81
EnergyAware,5,energy-aware-pod-1,kind-worker,153.162
EnergyAware,5,energy-aware-pod-2,kind-worker2,136.287
EnergyAware,5,energy-aware-pod-3,kind-worker2,145.242
EnergyAware,5,energy-aware-pod-4,kind-worker,151.011
EnergyAware,5,energy-aware-pod-5,kind-worker2,151.377
Standard,6,standard-pod-1,kind-worker2,118.857
Standard,6,standard-pod-2,kind-worker,153.069
Standard,6,standard-pod-3,kind-worker2,146.718
Standard,6,standard-pod-4,kind-worker,153.441
Standard,6,standard-pod-5,kind-worker2,153.183
Standard,6,standard-pod-6,kind-worker,153.75
EnergyAware,6,energy-aware-pod-1,kind-worker,149.814
EnergyAware,6,energy-aware-pod-2,kind-worker2,105.081
EnergyAware,6,energy-aware-pod-3,kind-worker2,151.011
EnergyAware,6,energy-aware-pod-4,kind-worker,154.317
EnergyAware,6,energy-aware-pod-5,kind-worker2,140.34
EnergyAware,6,energy-aware-pod-6,kind-worker,152.106
Standard,7,standard-pod-1,kind-worker2,112.947
Standard,7,standard-pod-2,kind-worker,149.331
Standard,7,standard-pod-3,kind-worker2,146.007
Standard,7,standard-pod-4,kind-worker,146.97
Standard,7,standard-pod-5,kind-worker2,137.052
Standard,7,standard-pod-6,kind-worker,151.08
Standard,7,standard-pod-7,kind-worker,146.553
EnergyAware,7,energy-aware-pod-1,kind-worker,153.756
EnergyAware,7,energy-aware-pod-2,kind-worker2,151.755
EnergyAware,7,energy-aware-pod-3,kind-worker2,131.013
EnergyAware,7,energy-aware-pod-4,kind-worker,149.139
EnergyAware,7,energy-aware-pod-5,kind-worker2,133.95
EnergyAware,7,energy-aware-pod-6,kind-worker,151.08
EnergyAware,7,energy-aware-pod-7,kind-worker2,123.054
Standard,8,standard-pod-1,kind-worker2,0
Standard,8,standard-pod-2,kind-worker,29.373
Standard,8,standard-pod-3,kind-worker2,0
Standard,8,standard-pod-4,kind-worker,24.285
Standard,8,standard-pod-5,kind-worker2,0
Standard,8,standard-pod-6,kind-worker,19.014
Standard,8,standard-pod-7,kind-worker2,0
Standard,8,standard-pod-8,kind-worker,20.22
EnergyAware,8,energy-aware-pod-1,kind-worker,161.961
EnergyAware,8,energy-aware-pod-2,kind-worker2,121.572
