schedulingType,numberOfInstances,podName,nodeName,energyConsumption
Standard,1,standard-pod-1,kind-worker2,139.407
EnergyAware,1,energy-aware-pod-1,kind-worker,137.943
Standard,2,standard-pod-1,kind-worker2,124.695
Standard,2,standard-pod-2,kind-worker,108.738
EnergyAware,2,energy-aware-pod-1,kind-worker,138.756
EnergyAware,2,energy-aware-pod-2,kind-worker,130.689
Standard,3,standard-pod-1,kind-worker2,127.197
Standard,3,standard-pod-2,kind-worker,119.202
Standard,3,standard-pod-3,kind-worker2,132.315
EnergyAware,3,energy-aware-pod-1,kind-worker,142.161
EnergyAware,3,energy-aware-pod-2,kind-worker,90.987
EnergyAware,3,energy-aware-pod-3,kind-worker2,132.456
Standard,4,standard-pod-1,kind-worker2,110.751
Standard,4,standard-pod-2,kind-worker,90.216
Standard,4,standard-pod-3,kind-worker2,114.039
Standard,4,standard-pod-4,kind-worker,148.266
EnergyAware,4,energy-aware-pod-1,kind-worker,122.136
EnergyAware,4,energy-aware-pod-2,kind-worker,148.383
EnergyAware,4,energy-aware-pod-3,kind-worker2,63.459
EnergyAware,4,energy-aware-pod-4,kind-worker,129.576
Standard,5,standard-pod-1,kind-worker2,0
Standard,5,standard-pod-2,kind-worker,0
Standard,5,standard-pod-3,kind-worker2,0
Standard,5,standard-pod-4,kind-worker,0
Standard,5,standard-pod-5,kind-worker,0
EnergyAware,5,energy-aware-pod-1,kind-worker,0
EnergyAware,5,energy-aware-pod-2,kind-worker,0
EnergyAware,5,energy-aware-pod-3,kind-worker2,0
EnergyAware,5,energy-aware-pod-4,kind-worker,0
EnergyAware,5,energy-aware-pod-5,kind-worker,0
schedulingType,numberOfInstances,podName,nodeName,energyConsumption
Standard,1,standard-pod-1,kind-worker2,147.978
EnergyAware,1,energy-aware-pod-1,kind-worker,145.122
Standard,2,standard-pod-1,kind-worker2,147.636
Standard,2,standard-pod-2,kind-worker,107.622
EnergyAware,2,energy-aware-pod-1,kind-worker,135.921
EnergyAware,2,energy-aware-pod-2,kind-worker,138.318
Standard,3,standard-pod-1,kind-worker2,136.107
Standard,3,standard-pod-2,kind-worker,148.401
Standard,3,standard-pod-3,kind-worker2,131.655
EnergyAware,3,energy-aware-pod-1,kind-worker,145.14
EnergyAware,3,energy-aware-pod-2,kind-worker,123.465
EnergyAware,3,energy-aware-pod-3,kind-worker2,130.632
Standard,4,standard-pod-1,kind-worker2,140.082
Standard,4,standard-pod-2,kind-worker,100.371
Standard,4,standard-pod-3,kind-worker2,152.13
Standard,4,standard-pod-4,kind-worker,128.337
EnergyAware,4,energy-aware-pod-1,kind-worker,101.52
EnergyAware,4,energy-aware-pod-2,kind-worker,150.585
EnergyAware,4,energy-aware-pod-3,kind-worker2,128.289
EnergyAware,4,energy-aware-pod-4,kind-worker,128.457
Standard,5,standard-pod-1,kind-worker2,123.972
Standard,5,standard-pod-2,kind-worker,140.985
Standard,5,standard-pod-3,kind-worker2,130.887
Standard,5,standard-pod-4,kind-worker,128.208
Standard,5,standard-pod-5,kind-worker,120.171
EnergyAware,5,energy-aware-pod-1,kind-worker,135.222
EnergyAware,5,energy-aware-pod-2,kind-worker,127.311
EnergyAware,5,energy-aware-pod-3,kind-worker2,109.131
EnergyAware,5,energy-aware-pod-4,kind-worker,151.089
EnergyAware,5,energy-aware-pod-5,kind-worker,135.957
Standard,6,standard-pod-1,kind-worker2,129.375
Standard,6,standard-pod-2,kind-worker,138.099
Standard,6,standard-pod-3,kind-worker2,150.819
Standard,6,standard-pod-4,kind-worker,153.24
Standard,6,standard-pod-5,kind-worker2,121.683
Standard,6,standard-pod-6,kind-worker,134.139
EnergyAware,6,energy-aware-pod-1,kind-worker,121.596
EnergyAware,6,energy-aware-pod-2,kind-worker,137.043
EnergyAware,6,energy-aware-pod-3,kind-worker2,134.79
EnergyAware,6,energy-aware-pod-4,kind-worker,136.827
EnergyAware,6,energy-aware-pod-5,kind-worker,151.575
EnergyAware,6,energy-aware-pod-6,kind-worker2,145.854
Standard,7,standard-pod-1,kind-worker2,144.015
Standard,7,standard-pod-2,kind-worker,103.185
Standard,7,standard-pod-3,kind-worker2,149.268
Standard,7,standard-pod-4,kind-worker,145.413
Standard,7,standard-pod-5,kind-worker2,133.713
Standard,7,standard-pod-6,kind-worker,132.903
Standard,7,standard-pod-7,kind-worker2,120.933
EnergyAware,7,energy-aware-pod-1,kind-worker,110.463
EnergyAware,7,energy-aware-pod-2,kind-worker,134.217
EnergyAware,7,energy-aware-pod-3,kind-worker2,132.6
EnergyAware,7,energy-aware-pod-4,kind-worker,122.538
EnergyAware,7,energy-aware-pod-5,kind-worker,123.366
EnergyAware,7,energy-aware-pod-6,kind-worker2,143.049
EnergyAware,7,energy-aware-pod-7,kind-worker2,108.126
Standard,8,standard-pod-1,kind-worker2,144.816
Standard,8,standard-pod-2,kind-worker,139.119
Standard,8,standard-pod-3,kind-worker2,92.292
Standard,8,standard-pod-4,kind-worker,129.273
Standard,8,standard-pod-5,kind-worker,113.142
Standard,8,standard-pod-6,kind-worker2,85.272
Standard,8,standard-pod-7,kind-worker,152.838
Standard,8,standard-pod-8,kind-worker2,139.878
EnergyAware,8,energy-aware-pod-1,kind-worker,145.65
EnergyAware,8,energy-aware-pod-2,kind-worker,141.984
EnergyAware,8,energy-aware-pod-3,kind-worker2,153.756
EnergyAware,8,energy-aware-pod-4,kind-worker,124.596
EnergyAware,8,energy-aware-pod-5,kind-worker,148.212
EnergyAware,8,energy-aware-pod-6,kind-worker2,84.33
EnergyAware,8,energy-aware-pod-7,kind-worker2,110.166
EnergyAware,8,energy-aware-pod-8,kind-worker2,130.806
Standard,9,standard-pod-1,kind-worker2,165.924
Standard,9,standard-pod-2,kind-worker,133.353
Standard,9,standard-pod-3,kind-worker2,164.208
Standard,9,standard-pod-4,kind-worker,149.517
Standard,9,standard-pod-5,kind-worker2,154.167
Standard,9,standard-pod-6,kind-worker,140.199
Standard,9,standard-pod-7,kind-worker,106.98
Standard,9,standard-pod-8,kind-worker2,157.086
Standard,9,standard-pod-9,kind-worker2,162.336
EnergyAware,9,energy-aware-pod-1,kind-worker,164.871
EnergyAware,9,energy-aware-pod-2,kind-worker,159.861
EnergyAware,9,energy-aware-pod-3,kind-worker2,115.434
EnergyAware,9,energy-aware-pod-4,kind-worker,161.205
EnergyAware,9,energy-aware-pod-5,kind-worker,162.336
EnergyAware,9,energy-aware-pod-6,kind-worker2,137.898
EnergyAware,9,energy-aware-pod-7,kind-worker2,131.967
EnergyAware,9,energy-aware-pod-8,kind-worker2,141.705
EnergyAware,9,energy-aware-pod-9,kind-worker,155.715
Standard,10,standard-pod-1,kind-worker2,163.689
Standard,10,standard-pod-2,kind-worker,157.635
Standard,10,standard-pod-3,kind-worker2,166.269
Standard,10,standard-pod-4,kind-worker,157.956
Standard,10,standard-pod-5,kind-worker2,168.873
Standard,10,standard-pod-6,kind-worker,159.597
Standard,10,standard-pod-7,kind-worker,149.565
Standard,10,standard-pod-8,kind-worker2,162.783
Standard,10,standard-pod-9,kind-worker2,163.674
Standard,10,standard-pod-10,kind-worker,152.652
EnergyAware,10,energy-aware-pod-1,kind-worker,168.369
EnergyAware,10,energy-aware-pod-2,kind-worker,166.269
