num_instances,pod_name,pod_energy
1,stress-1instance-pod1,149.16
2,stress-2instance-pod1,150.3
2,stress-2instance-pod2,150.267
3,stress-3instance-pod1,154.713
3,stress-3instance-pod2,155.061
3,stress-3instance-pod3,155.289
4,stress-4instance-pod1,151.707
4,stress-4instance-pod2,152.151
4,stress-4instance-pod3,151.755
4,stress-4instance-pod4,152.667
5,stress-5instance-pod1,152.637
5,stress-5instance-pod2,152.793
5,stress-5instance-pod3,152.871
5,stress-5instance-pod4,153.351
5,stress-5instance-pod5,153.126
6,stress-6instance-pod1,152.022
6,stress-6instance-pod2,151.302
6,stress-6instance-pod3,151.395
6,stress-6instance-pod4,152.082
6,stress-6instance-pod5,151.377
6,stress-6instance-pod6,151.596
7,stress-7instance-pod1,153.219
7,stress-7instance-pod2,153.6
7,stress-7instance-pod3,152.556
7,stress-7instance-pod4,153.597
7,stress-7instance-pod5,152.244
7,stress-7instance-pod6,151.734
7,stress-7instance-pod7,153.498
8,stress-8instance-pod1,155.556
8,stress-8instance-pod2,153.261
8,stress-8instance-pod3,155.037
8,stress-8instance-pod4,154.311
8,stress-8instance-pod5,154.128
8,stress-8instance-pod6,155.445
8,stress-8instance-pod7,153.486
8,stress-8instance-pod8,156.42
9,stress-9instance-pod1,156.726
9,stress-9instance-pod2,156.333
9,stress-9instance-pod3,160.416
9,stress-9instance-pod4,160.218
9,stress-9instance-pod5,160.854
9,stress-9instance-pod6,159.321
9,stress-9instance-pod7,159.867
9,stress-9instance-pod8,159.591
9,stress-9instance-pod9,161.994
10,stress-10instance-pod1,169.566
10,stress-10instance-pod2,172.923
10,stress-10instance-pod3,184.044
10,stress-10instance-pod4,185.295
10,stress-10instance-pod5,176.898
10,stress-10instance-pod6,177.465
10,stress-10instance-pod7,165.939
10,stress-10instance-pod8,175.68
10,stress-10instance-pod9,181.905
10,stress-10instance-pod10,179.019
