num_instances,pod_name,pod_energy
1,stress-1instance-pod1,142.428
1,Total,142.428
1,Average,142.428
2,stress-2instance-pod1,145.854
2,stress-2instance-pod2,112.53
2,Total,258.384
2,Average,129.192
3,stress-3instance-pod1,133.119
3,stress-3instance-pod2,117.744
3,stress-3instance-pod3,143.565
3,Total,394.428
3,Average,131.476
4,stress-4instance-pod1,144.468
4,stress-4instance-pod2,127.749
4,stress-4instance-pod3,131.388
4,stress-4instance-pod4,122.97
4,Total,526.575
4,Average,131.64375
5,stress-5instance-pod1,141.489
5,stress-5instance-pod2,135.978
5,stress-5instance-pod3,115.734
5,stress-5instance-pod4,130.404
5,stress-5instance-pod5,123.918
5,Total,647.523
5,Average,129.5046
6,stress-6instance-pod1,114.339
6,stress-6instance-pod2,108.981
6,stress-6instance-pod3,130.206
6,stress-6instance-pod4,137.817
6,stress-6instance-pod5,142.479
6,stress-6instance-pod6,144.717
6,Total,778.539
6,Average,129.7565
7,stress-7instance-pod1,120.885
7,stress-7instance-pod2,147.396
7,stress-7instance-pod3,132.801
7,stress-7instance-pod4,149.04
7,stress-7instance-pod5,154.197
7,stress-7instance-pod6,138.873
7,stress-7instance-pod7,150.315
7,Total,993.507
7,Average,141.92957142857142
8,stress-8instance-pod1,133.263
8,stress-8instance-pod2,143.325
8,stress-8instance-pod3,144.504
8,stress-8instance-pod4,152.259
8,stress-8instance-pod5,136.296
8,stress-8instance-pod6,148.419
8,stress-8instance-pod7,140.967
8,stress-8instance-pod8,128.544
8,Total,1127.577
8,Average,140.947125
9,stress-9instance-pod1,125.907
9,stress-9instance-pod2,136.308
9,stress-9instance-pod3,147.504
9,stress-9instance-pod4,140.787
9,stress-9instance-pod5,131.691
9,stress-9instance-pod6,135.309
9,stress-9instance-pod7,151.983
9,stress-9instance-pod8,150.495
9,stress-9instance-pod9,153.219
9,Total,1273.203
9,Average,141.46699999999998
10,stress-10instance-pod1,155.223
10,stress-10instance-pod2,165.477
10,stress-10instance-pod3,155.223
10,stress-10instance-pod4,170.526
10,stress-10instance-pod5,158.274
10,stress-10instance-pod6,157.521
10,stress-10instance-pod7,159.222
10,stress-10instance-pod8,159.897
10,stress-10instance-pod9,158.133
10,stress-10instance-pod10,162.573
10,Total,1602.069
10,Average,160.2069
