node_name,pod_name,pod_energy
kind-worker,stress-kind-worker-4instance-pod1,171.711
kind-worker,stress-kind-worker-4instance-pod2,167.376
kind-worker,stress-kind-worker-4instance-pod3,165.516
kind-worker,stress-kind-worker-4instance-pod4,169.275
kind-worker2,stress-kind-worker2-6instance-pod1,136.443
kind-worker2,stress-kind-worker2-6instance-pod2,133.299
kind-worker2,stress-kind-worker2-6instance-pod3,134.631
kind-worker2,stress-kind-worker2-6instance-pod4,149.901
kind-worker2,stress-kind-worker2-6instance-pod5,148.329
kind-worker2,stress-kind-worker2-6instance-pod6,135.495
