numberOfInstances,combination,nodeName,podName,energyConsumption
7,7kind-worker-0kind-worker2,kind-worker,instances7-7kind-worker-0kind-worker2-pod1,157.677
7,7kind-worker-0kind-worker2,kind-worker,instances7-7kind-worker-0kind-worker2-pod2,157.23
7,7kind-worker-0kind-worker2,kind-worker,instances7-7kind-worker-0kind-worker2-pod3,156.816
7,7kind-worker-0kind-worker2,kind-worker,instances7-7kind-worker-0kind-worker2-pod4,153.879
7,7kind-worker-0kind-worker2,kind-worker,instances7-7kind-worker-0kind-worker2-pod5,158.064
7,7kind-worker-0kind-worker2,kind-worker,instances7-7kind-worker-0kind-worker2-pod6,156.597
7,7kind-worker-0kind-worker2,kind-worker,instances7-7kind-worker-0kind-worker2-pod7,154.098
7,6kind-worker-1kind-worker2,kind-worker,instances7-6kind-worker-1kind-worker2-pod1,155.172
7,6kind-worker-1kind-worker2,kind-worker,instances7-6kind-worker-1kind-worker2-pod2,154.668
7,6kind-worker-1kind-worker2,kind-worker,instances7-6kind-worker-1kind-worker2-pod3,153.876
7,6kind-worker-1kind-worker2,kind-worker,instances7-6kind-worker-1kind-worker2-pod4,154.758
7,6kind-worker-1kind-worker2,kind-worker,instances7-6kind-worker-1kind-worker2-pod5,156.126
7,6kind-worker-1kind-worker2,kind-worker,instances7-6kind-worker-1kind-worker2-pod6,152.511
7,6kind-worker-1kind-worker2,kind-worker2,instances7-6kind-worker-1kind-worker2-pod7,150.378
7,5kind-worker-2kind-worker2,kind-worker,instances7-5kind-worker-2kind-worker2-pod1,154.173
7,5kind-worker-2kind-worker2,kind-worker,instances7-5kind-worker-2kind-worker2-pod2,149.148
7,5kind-worker-2kind-worker2,kind-worker,instances7-5kind-worker-2kind-worker2-pod3,149.763
7,5kind-worker-2kind-worker2,kind-worker,instances7-5kind-worker-2kind-worker2-pod4,151.572
7,5kind-worker-2kind-worker2,kind-worker,instances7-5kind-worker-2kind-worker2-pod5,149.73
7,5kind-worker-2kind-worker2,kind-worker2,instances7-5kind-worker-2kind-worker2-pod6,152.16
7,5kind-worker-2kind-worker2,kind-worker2,instances7-5kind-worker-2kind-worker2-pod7,103.443
7,4kind-worker-3kind-worker2,kind-worker,instances7-4kind-worker-3kind-worker2-pod1,147.465
7,4kind-worker-3kind-worker2,kind-worker,instances7-4kind-worker-3kind-worker2-pod2,139.866
7,4kind-worker-3kind-worker2,kind-worker,instances7-4kind-worker-3kind-worker2-pod3,118.95
7,4kind-worker-3kind-worker2,kind-worker,instances7-4kind-worker-3kind-worker2-pod4,120.348
7,4kind-worker-3kind-worker2,kind-worker2,instances7-4kind-worker-3kind-worker2-pod5,134.082
7,4kind-worker-3kind-worker2,kind-worker2,instances7-4kind-worker-3kind-worker2-pod6,89.082
7,4kind-worker-3kind-worker2,kind-worker2,instances7-4kind-worker-3kind-worker2-pod7,106.728
7,3kind-worker-4kind-worker2,kind-worker,instances7-3kind-worker-4kind-worker2-pod1,136.857
7,3kind-worker-4kind-worker2,kind-worker,instances7-3kind-worker-4kind-worker2-pod2,152.967
7,3kind-worker-4kind-worker2,kind-worker,instances7-3kind-worker-4kind-worker2-pod3,116.415
7,3kind-worker-4kind-worker2,kind-worker2,instances7-3kind-worker-4kind-worker2-pod4,150.225
7,3kind-worker-4kind-worker2,kind-worker2,instances7-3kind-worker-4kind-worker2-pod5,125.589
7,3kind-worker-4kind-worker2,kind-worker2,instances7-3kind-worker-4kind-worker2-pod6,136.611
7,3kind-worker-4kind-worker2,kind-worker2,instances7-3kind-worker-4kind-worker2-pod7,145.839
7,2kind-worker-5kind-worker2,kind-worker,instances7-2kind-worker-5kind-worker2-pod1,152.073
7,2kind-worker-5kind-worker2,kind-worker,instances7-2kind-worker-5kind-worker2-pod2,131.607
7,2kind-worker-5kind-worker2,kind-worker2,instances7-2kind-worker-5kind-worker2-pod3,127.224
7,2kind-worker-5kind-worker2,kind-worker2,instances7-2kind-worker-5kind-worker2-pod4,137.271
7,2kind-worker-5kind-worker2,kind-worker2,instances7-2kind-worker-5kind-worker2-pod5,157.314
7,2kind-worker-5kind-worker2,kind-worker2,instances7-2kind-worker-5kind-worker2-pod6,152.589
7,2kind-worker-5kind-worker2,kind-worker2,instances7-2kind-worker-5kind-worker2-pod7,142.431
7,1kind-worker-6kind-worker2,kind-worker,instances7-1kind-worker-6kind-worker2-pod1,141.099
7,1kind-worker-6kind-worker2,kind-worker2,instances7-1kind-worker-6kind-worker2-pod2,142.746
7,1kind-worker-6kind-worker2,kind-worker2,instances7-1kind-worker-6kind-worker2-pod3,149.445
7,1kind-worker-6kind-worker2,kind-worker2,instances7-1kind-worker-6kind-worker2-pod4,144.18
7,1kind-worker-6kind-worker2,kind-worker2,instances7-1kind-worker-6kind-worker2-pod5,153.057
7,1kind-worker-6kind-worker2,kind-worker2,instances7-1kind-worker-6kind-worker2-pod6,149.808
7,1kind-worker-6kind-worker2,kind-worker2,instances7-1kind-worker-6kind-worker2-pod7,150.237
7,0kind-worker-7kind-worker2,kind-worker2,instances7-0kind-worker-7kind-worker2-pod1,143.472
7,0kind-worker-7kind-worker2,kind-worker2,instances7-0kind-worker-7kind-worker2-pod2,152.82
7,0kind-worker-7kind-worker2,kind-worker2,instances7-0kind-worker-7kind-worker2-pod3,128.133
7,0kind-worker-7kind-worker2,kind-worker2,instances7-0kind-worker-7kind-worker2-pod4,148.176
7,0kind-worker-7kind-worker2,kind-worker2,instances7-0kind-worker-7kind-worker2-pod5,144.648
7,0kind-worker-7kind-worker2,kind-worker2,instances7-0kind-worker-7kind-worker2-pod6,142.881
7,0kind-worker-7kind-worker2,kind-worker2,instances7-0kind-worker-7kind-worker2-pod7,137.328
