numberOfInstances,combination,nodeName,podName,energyConsumption
9,9kind-worker-0kind-worker2,kind-worker,instances9-9kind-worker-0kind-worker2-pod1,167.367
9,9kind-worker-0kind-worker2,kind-worker,instances9-9kind-worker-0kind-worker2-pod2,161.196
9,9kind-worker-0kind-worker2,kind-worker,instances9-9kind-worker-0kind-worker2-pod3,163.206
9,9kind-worker-0kind-worker2,kind-worker,instances9-9kind-worker-0kind-worker2-pod4,163.41
9,9kind-worker-0kind-worker2,kind-worker,instances9-9kind-worker-0kind-worker2-pod5,163.311
9,9kind-worker-0kind-worker2,kind-worker,instances9-9kind-worker-0kind-worker2-pod6,162.585
9,9kind-worker-0kind-worker2,kind-worker,instances9-9kind-worker-0kind-worker2-pod7,161.205
9,9kind-worker-0kind-worker2,kind-worker,instances9-9kind-worker-0kind-worker2-pod8,163.524
9,9kind-worker-0kind-worker2,kind-worker,instances9-9kind-worker-0kind-worker2-pod9,166.89
9,8kind-worker-1kind-worker2,kind-worker,instances9-8kind-worker-1kind-worker2-pod1,160.389
9,8kind-worker-1kind-worker2,kind-worker,instances9-8kind-worker-1kind-worker2-pod2,163.65
9,8kind-worker-1kind-worker2,kind-worker,instances9-8kind-worker-1kind-worker2-pod3,149.526
9,8kind-worker-1kind-worker2,kind-worker,instances9-8kind-worker-1kind-worker2-pod4,156.351
9,8kind-worker-1kind-worker2,kind-worker,instances9-8kind-worker-1kind-worker2-pod5,162.339
9,8kind-worker-1kind-worker2,kind-worker,instances9-8kind-worker-1kind-worker2-pod6,162.177
9,8kind-worker-1kind-worker2,kind-worker,instances9-8kind-worker-1kind-worker2-pod7,161.736
9,8kind-worker-1kind-worker2,kind-worker,instances9-8kind-worker-1kind-worker2-pod8,158.391
9,8kind-worker-1kind-worker2,kind-worker2,instances9-8kind-worker-1kind-worker2-pod9,138.738
9,7kind-worker-2kind-worker2,kind-worker,instances9-7kind-worker-2kind-worker2-pod1,162.831
9,7kind-worker-2kind-worker2,kind-worker,instances9-7kind-worker-2kind-worker2-pod2,155.67
9,7kind-worker-2kind-worker2,kind-worker,instances9-7kind-worker-2kind-worker2-pod3,160.611
9,7kind-worker-2kind-worker2,kind-worker,instances9-7kind-worker-2kind-worker2-pod4,160.062
9,7kind-worker-2kind-worker2,kind-worker,instances9-7kind-worker-2kind-worker2-pod5,163.479
9,7kind-worker-2kind-worker2,kind-worker,instances9-7kind-worker-2kind-worker2-pod6,167.547
9,7kind-worker-2kind-worker2,kind-worker,instances9-7kind-worker-2kind-worker2-pod7,161.67
9,7kind-worker-2kind-worker2,kind-worker2,instances9-7kind-worker-2kind-worker2-pod8,97.611
9,7kind-worker-2kind-worker2,kind-worker2,instances9-7kind-worker-2kind-worker2-pod9,135.885
9,6kind-worker-3kind-worker2,kind-worker,instances9-6kind-worker-3kind-worker2-pod1,164.928
9,6kind-worker-3kind-worker2,kind-worker,instances9-6kind-worker-3kind-worker2-pod2,167.25
9,6kind-worker-3kind-worker2,kind-worker,instances9-6kind-worker-3kind-worker2-pod3,168.537
9,6kind-worker-3kind-worker2,kind-worker,instances9-6kind-worker-3kind-worker2-pod4,162.942
9,6kind-worker-3kind-worker2,kind-worker,instances9-6kind-worker-3kind-worker2-pod5,167.16
9,6kind-worker-3kind-worker2,kind-worker,instances9-6kind-worker-3kind-worker2-pod6,170.973
9,6kind-worker-3kind-worker2,kind-worker2,instances9-6kind-worker-3kind-worker2-pod7,144.117
9,6kind-worker-3kind-worker2,kind-worker2,instances9-6kind-worker-3kind-worker2-pod8,137.229
9,6kind-worker-3kind-worker2,kind-worker2,instances9-6kind-worker-3kind-worker2-pod9,118.503
9,5kind-worker-4kind-worker2,kind-worker,instances9-5kind-worker-4kind-worker2-pod1,162.87
9,5kind-worker-4kind-worker2,kind-worker,instances9-5kind-worker-4kind-worker2-pod2,160.833
9,5kind-worker-4kind-worker2,kind-worker,instances9-5kind-worker-4kind-worker2-pod3,162.906
9,5kind-worker-4kind-worker2,kind-worker,instances9-5kind-worker-4kind-worker2-pod4,157.335
9,5kind-worker-4kind-worker2,kind-worker,instances9-5kind-worker-4kind-worker2-pod5,166.122
9,5kind-worker-4kind-worker2,kind-worker2,instances9-5kind-worker-4kind-worker2-pod6,145.302
9,5kind-worker-4kind-worker2,kind-worker2,instances9-5kind-worker-4kind-worker2-pod7,144.258
9,5kind-worker-4kind-worker2,kind-worker2,instances9-5kind-worker-4kind-worker2-pod8,138.849
9,5kind-worker-4kind-worker2,kind-worker2,instances9-5kind-worker-4kind-worker2-pod9,149.499
9,4kind-worker-5kind-worker2,kind-worker,instances9-4kind-worker-5kind-worker2-pod1,157.218
9,4kind-worker-5kind-worker2,kind-worker,instances9-4kind-worker-5kind-worker2-pod2,127.473
9,4kind-worker-5kind-worker2,kind-worker,instances9-4kind-worker-5kind-worker2-pod3,145.671
9,4kind-worker-5kind-worker2,kind-worker,instances9-4kind-worker-5kind-worker2-pod4,129.042
9,4kind-worker-5kind-worker2,kind-worker2,instances9-4kind-worker-5kind-worker2-pod5,149.682
9,4kind-worker-5kind-worker2,kind-worker2,instances9-4kind-worker-5kind-worker2-pod6,141.261
9,4kind-worker-5kind-worker2,kind-worker2,instances9-4kind-worker-5kind-worker2-pod7,152.859
9,4kind-worker-5kind-worker2,kind-worker2,instances9-4kind-worker-5kind-worker2-pod8,143.607
9,4kind-worker-5kind-worker2,kind-worker2,instances9-4kind-worker-5kind-worker2-pod9,146.646
9,3kind-worker-6kind-worker2,kind-worker,instances9-3kind-worker-6kind-worker2-pod1,137.415
9,3kind-worker-6kind-worker2,kind-worker,instances9-3kind-worker-6kind-worker2-pod2,151.98
9,3kind-worker-6kind-worker2,kind-worker,instances9-3kind-worker-6kind-worker2-pod3,156.126
9,3kind-worker-6kind-worker2,kind-worker2,instances9-3kind-worker-6kind-worker2-pod4,156.498
9,3kind-worker-6kind-worker2,kind-worker2,instances9-3kind-worker-6kind-worker2-pod5,147.408
9,3kind-worker-6kind-worker2,kind-worker2,instances9-3kind-worker-6kind-worker2-pod6,157.311
9,3kind-worker-6kind-worker2,kind-worker2,instances9-3kind-worker-6kind-worker2-pod7,172.533
9,3kind-worker-6kind-worker2,kind-worker2,instances9-3kind-worker-6kind-worker2-pod8,147.912
9,3kind-worker-6kind-worker2,kind-worker2,instances9-3kind-worker-6kind-worker2-pod9,144.447
9,2kind-worker-7kind-worker2,kind-worker,instances9-2kind-worker-7kind-worker2-pod1,166.551
9,2kind-worker-7kind-worker2,kind-worker,instances9-2kind-worker-7kind-worker2-pod2,144.084
9,2kind-worker-7kind-worker2,kind-worker2,instances9-2kind-worker-7kind-worker2-pod3,147.195
9,2kind-worker-7kind-worker2,kind-worker2,instances9-2kind-worker-7kind-worker2-pod4,151.098
9,2kind-worker-7kind-worker2,kind-worker2,instances9-2kind-worker-7kind-worker2-pod5,172.884
9,2kind-worker-7kind-worker2,kind-worker2,instances9-2kind-worker-7kind-worker2-pod6,168.336
9,2kind-worker-7kind-worker2,kind-worker2,instances9-2kind-worker-7kind-worker2-pod7,144.156
9,2kind-worker-7kind-worker2,kind-worker2,instances9-2kind-worker-7kind-worker2-pod8,162.294
9,2kind-worker-7kind-worker2,kind-worker2,instances9-2kind-worker-7kind-worker2-pod9,159.438
9,1kind-worker-8kind-worker2,kind-worker,instances9-1kind-worker-8kind-worker2-pod1,126.066
9,1kind-worker-8kind-worker2,kind-worker2,instances9-1kind-worker-8kind-worker2-pod2,146.049
9,1kind-worker-8kind-worker2,kind-worker2,instances9-1kind-worker-8kind-worker2-pod3,165.891
