numberOfInstances,combination,nodeName,podName,energyConsumption
1,1kind-worker-0kind-worker2,kind-worker,instances1-1kind-worker-0kind-worker2-pod1,147.909
1,0kind-worker-1kind-worker2,kind-worker2,instances1-0kind-worker-1kind-worker2-pod1,151.836
2,2kind-worker-0kind-worker2,kind-worker,instances2-2kind-worker-0kind-worker2-pod1,143.313
2,2kind-worker-0kind-worker2,kind-worker,instances2-2kind-worker-0kind-worker2-pod2,87.216
2,1kind-worker-1kind-worker2,kind-worker,instances2-1kind-worker-1kind-worker2-pod1,124.653
2,1kind-worker-1kind-worker2,kind-worker2,instances2-1kind-worker-1kind-worker2-pod2,148.659
2,0kind-worker-2kind-worker2,kind-worker2,instances2-0kind-worker-2kind-worker2-pod1,148.581
2,0kind-worker-2kind-worker2,kind-worker2,instances2-0kind-worker-2kind-worker2-pod2,119.184
3,3kind-worker-0kind-worker2,kind-worker,instances3-3kind-worker-0kind-worker2-pod1,115.854
3,3kind-worker-0kind-worker2,kind-worker,instances3-3kind-worker-0kind-worker2-pod2,132.711
3,3kind-worker-0kind-worker2,kind-worker,instances3-3kind-worker-0kind-worker2-pod3,147.399
3,2kind-worker-1kind-worker2,kind-worker,instances3-2kind-worker-1kind-worker2-pod1,147.183
3,2kind-worker-1kind-worker2,kind-worker,instances3-2kind-worker-1kind-worker2-pod2,67.698
3,2kind-worker-1kind-worker2,kind-worker2,instances3-2kind-worker-1kind-worker2-pod3,123.399
3,1kind-worker-2kind-worker2,kind-worker,instances3-1kind-worker-2kind-worker2-pod1,148.908
3,1kind-worker-2kind-worker2,kind-worker2,instances3-1kind-worker-2kind-worker2-pod2,98.343
3,1kind-worker-2kind-worker2,kind-worker2,instances3-1kind-worker-2kind-worker2-pod3,97.848
3,0kind-worker-3kind-worker2,kind-worker2,instances3-0kind-worker-3kind-worker2-pod1,143.904
3,0kind-worker-3kind-worker2,kind-worker2,instances3-0kind-worker-3kind-worker2-pod2,143.793
3,0kind-worker-3kind-worker2,kind-worker2,instances3-0kind-worker-3kind-worker2-pod3,143.877
4,4kind-worker-0kind-worker2,kind-worker,instances4-4kind-worker-0kind-worker2-pod1,146.643
