numberOfInstances,combination,nodeName,podName,energyConsumption
1,1kind-worker-0kind-worker2,kind-worker,instances1-1kind-worker-0kind-worker2-pod1,149.664
1,0kind-worker-1kind-worker2,kind-worker2,instances1-0kind-worker-1kind-worker2-pod1,145.209
2,2kind-worker-0kind-worker2,kind-worker,instances2-2kind-worker-0kind-worker2-pod1,148.557
2,2kind-worker-0kind-worker2,kind-worker,instances2-2kind-worker-0kind-worker2-pod2,149.772
2,1kind-worker-1kind-worker2,kind-worker,instances2-1kind-worker-1kind-worker2-pod1,148.932
2,1kind-worker-1kind-worker2,kind-worker2,instances2-1kind-worker-1kind-worker2-pod2,129.477
2,0kind-worker-2kind-worker2,kind-worker2,instances2-0kind-worker-2kind-worker2-pod1,147.096
2,0kind-worker-2kind-worker2,kind-worker2,instances2-0kind-worker-2kind-worker2-pod2,126.141
3,3kind-worker-0kind-worker2,kind-worker,instances3-3kind-worker-0kind-worker2-pod1,152.715
3,3kind-worker-0kind-worker2,kind-worker,instances3-3kind-worker-0kind-worker2-pod2,152.766
3,3kind-worker-0kind-worker2,kind-worker,instances3-3kind-worker-0kind-worker2-pod3,152.667
3,2kind-worker-1kind-worker2,kind-worker,instances3-2kind-worker-1kind-worker2-pod1,150.912
3,2kind-worker-1kind-worker2,kind-worker,instances3-2kind-worker-1kind-worker2-pod2,145.377
3,2kind-worker-1kind-worker2,kind-worker2,instances3-2kind-worker-1kind-worker2-pod3,139.947
3,1kind-worker-2kind-worker2,kind-worker,instances3-1kind-worker-2kind-worker2-pod1,130.206
3,1kind-worker-2kind-worker2,kind-worker2,instances3-1kind-worker-2kind-worker2-pod2,130.458
3,1kind-worker-2kind-worker2,kind-worker2,instances3-1kind-worker-2kind-worker2-pod3,141.3
3,0kind-worker-3kind-worker2,kind-worker2,instances3-0kind-worker-3kind-worker2-pod1,145.08
3,0kind-worker-3kind-worker2,kind-worker2,instances3-0kind-worker-3kind-worker2-pod2,138.456
3,0kind-worker-3kind-worker2,kind-worker2,instances3-0kind-worker-3kind-worker2-pod3,113.316
4,4kind-worker-0kind-worker2,kind-worker,instances4-4kind-worker-0kind-worker2-pod1,155.442
4,4kind-worker-0kind-worker2,kind-worker,instances4-4kind-worker-0kind-worker2-pod2,153.786
4,4kind-worker-0kind-worker2,kind-worker,instances4-4kind-worker-0kind-worker2-pod3,154.521
4,4kind-worker-0kind-worker2,kind-worker,instances4-4kind-worker-0kind-worker2-pod4,154.689
4,3kind-worker-1kind-worker2,kind-worker,instances4-3kind-worker-1kind-worker2-pod1,153.339
4,3kind-worker-1kind-worker2,kind-worker,instances4-3kind-worker-1kind-worker2-pod2,151.173
4,3kind-worker-1kind-worker2,kind-worker,instances4-3kind-worker-1kind-worker2-pod3,149.664
4,3kind-worker-1kind-worker2,kind-worker2,instances4-3kind-worker-1kind-worker2-pod4,131.547
4,2kind-worker-2kind-worker2,kind-worker,instances4-2kind-worker-2kind-worker2-pod1,151.737
4,2kind-worker-2kind-worker2,kind-worker,instances4-2kind-worker-2kind-worker2-pod2,149.889
4,2kind-worker-2kind-worker2,kind-worker2,instances4-2kind-worker-2kind-worker2-pod3,135.609
4,2kind-worker-2kind-worker2,kind-worker2,instances4-2kind-worker-2kind-worker2-pod4,123.093
4,1kind-worker-3kind-worker2,kind-worker,instances4-1kind-worker-3kind-worker2-pod1,146.64
4,1kind-worker-3kind-worker2,kind-worker2,instances4-1kind-worker-3kind-worker2-pod2,143.424
4,1kind-worker-3kind-worker2,kind-worker2,instances4-1kind-worker-3kind-worker2-pod3,144.546
4,1kind-worker-3kind-worker2,kind-worker2,instances4-1kind-worker-3kind-worker2-pod4,133.671
4,0kind-worker-4kind-worker2,kind-worker2,instances4-0kind-worker-4kind-worker2-pod1,134.835
4,0kind-worker-4kind-worker2,kind-worker2,instances4-0kind-worker-4kind-worker2-pod2,119.049
4,0kind-worker-4kind-worker2,kind-worker2,instances4-0kind-worker-4kind-worker2-pod3,140.364
4,0kind-worker-4kind-worker2,kind-worker2,instances4-0kind-worker-4kind-worker2-pod4,149.553
5,5kind-worker-0kind-worker2,kind-worker,instances5-5kind-worker-0kind-worker2-pod1,154.203
5,5kind-worker-0kind-worker2,kind-worker,instances5-5kind-worker-0kind-worker2-pod2,154.596
5,5kind-worker-0kind-worker2,kind-worker,instances5-5kind-worker-0kind-worker2-pod3,155.205
5,5kind-worker-0kind-worker2,kind-worker,instances5-5kind-worker-0kind-worker2-pod4,154.443
5,5kind-worker-0kind-worker2,kind-worker,instances5-5kind-worker-0kind-worker2-pod5,154.233
5,4kind-worker-1kind-worker2,kind-worker,instances5-4kind-worker-1kind-worker2-pod1,153.501
5,4kind-worker-1kind-worker2,kind-worker,instances5-4kind-worker-1kind-worker2-pod2,148.929
5,4kind-worker-1kind-worker2,kind-worker,instances5-4kind-worker-1kind-worker2-pod3,150.36
